File Name,File Format,Preservation Normalization Attempted,Preservation Normalization Failed,Preservation Conformance Check,Already in Preservation Format,Access Normalization Attempted,Access Normalization Failed,Already in Access Format,Access Conformance Check
RG456-05/RG456-05-06/RG456-05-06-12-004.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/7a5cdb26-2bcc-45a1-aa93-b460a70b71f0/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/16374102-14f2-4f99-bb6f-fd94c6dea7e6/",No,No,N/A
RG456-05/RG456-05-07/RG456-05-07-002.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/fdef9ce5-d8db-421e-9eca-d165952f1c90/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/01f7f08d-0ba2-4412-8431-c399dde410bd/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-32-001.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/f2bf65e8-772a-4456-ab14-5d924c0c8484/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/255feb32-c184-41d7-a8b5-c195eadc96f9/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-09-001.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/2b0c2f16-2e26-4a8d-884d-29ab970abcf5/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/2102a6cb-fc71-4343-be51-af64c0d0e7ab/",No,No,N/A
RG456-05/RG456-05-01/RG456-05-01-017.mp3,MPEG1/2AudioLayer3,Yes "https://archtorontomu.scholarsportal.info/task/21929bdc-e455-4d55-abed-e4d79b9e7a53/",No,Passed "https://archtorontomu.scholarsportal.info/task/6e5262aa-3abb-4056-8d62-0fee344e0daf/",No,Yes "https://archtorontomu.scholarsportal.info/task/937b67c7-d814-4217-9a85-dbd3aba75aae/",No,No,Passed "https://archtorontomu.scholarsportal.info/task/e2a6b190-00ce-467e-984f-519d676bf3cd/"
RG456-05/RG456-05-01/RG456-05-01-007.mp3,MPEG1/2AudioLayer3,Yes "https://archtorontomu.scholarsportal.info/task/087da746-f263-4571-8eab-2b33426d6740/",No,Passed "https://archtorontomu.scholarsportal.info/task/e79aea57-a14a-497d-932e-86ac6bf1df09/",No,Yes "https://archtorontomu.scholarsportal.info/task/9286030c-168e-4051-911e-10c2adc880b3/",No,No,Passed "https://archtorontomu.scholarsportal.info/task/48bace93-a0a4-49f0-8e4a-7d9b3a83f7e2/"
RG456-05/RG456-05-01/RG456-05-01-010.mp3,MPEG1/2AudioLayer3,Yes "https://archtorontomu.scholarsportal.info/task/e593cf79-a5e3-4bc0-852f-82540e690341/",No,Passed "https://archtorontomu.scholarsportal.info/task/6e89f440-f2c6-45c5-ba03-e064bed8625a/",No,Yes "https://archtorontomu.scholarsportal.info/task/7d906c10-23d5-4668-bfb3-3496f60758a3/",No,No,Passed "https://archtorontomu.scholarsportal.info/task/94afcec5-f49b-4c86-b58d-d40c7c58e7a0/"
RG456-05/RG456-05-01/RG456-05-01-001.mp3,MPEG1/2AudioLayer3,Yes "https://archtorontomu.scholarsportal.info/task/94a99437-5e54-4bda-aceb-9a807cc24509/",No,Passed "https://archtorontomu.scholarsportal.info/task/3bf69a96-0c08-4406-ba30-f8c977880d72/",No,Yes "https://archtorontomu.scholarsportal.info/task/3eb6fce7-76f5-4a8b-b405-3a53349278ce/",No,No,Passed "https://archtorontomu.scholarsportal.info/task/c4f9331b-e997-4e6a-9e0e-34483a159b3f/"
RG456-05/RG456-05-06/RG456-05-06-05-004.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/ac821d25-4d27-4958-8e17-41063c5a9726/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/4655932c-46c9-4f6f-a99a-7a713fdf6f81/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-22-004.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/98b83c74-a87e-4083-8714-912ca90d06ec/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/aa5af884-1fb9-4908-a0fa-8a82c7747a62/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-16-003.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/fcabcb5c-c0cc-48e4-8052-2cbaef9de5fe/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/f80cb458-e0f4-48f1-8aff-a42155b5bde4/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-21-003.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/2215831b-899d-4565-b652-4e456da22e1e/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/1346fa8e-6099-490d-acf3-cf3cc8ebbd7c/",No,No,N/A
RG456-05/RG456-05-01/RG456-05-01-024.mp3,MPEG1/2AudioLayer3,Yes "https://archtorontomu.scholarsportal.info/task/016f1498-5abd-4d4d-87bc-cef21ffc9d3e/",No,Passed "https://archtorontomu.scholarsportal.info/task/7b3398cf-d2ec-4a93-8fbd-63804e71216e/",No,Yes "https://archtorontomu.scholarsportal.info/task/03ad4ca4-f16e-4afe-91b2-5ae79204d92f/",No,No,Passed "https://archtorontomu.scholarsportal.info/task/f4047eb1-3c3a-42de-9316-a253526c636f/"
RG456-05/RG456-05-01/RG456-05-01-011.mp3,MPEG1/2AudioLayer3,Yes "https://archtorontomu.scholarsportal.info/task/8d18f369-32bc-4128-ab6d-53bd9c727444/",No,Passed "https://archtorontomu.scholarsportal.info/task/12a8340c-b119-468e-bf27-daf3983d0e22/",No,Yes "https://archtorontomu.scholarsportal.info/task/2da47253-1283-4af2-b540-e4801305cb3a/",No,No,Passed "https://archtorontomu.scholarsportal.info/task/5da37099-51bd-467c-91d4-8f3777315e22/"
